Fecha,Ciudad,Sucursal,Categoría,Índice_Laspeyres,Precio_Promedio_Pond,Inflación_Mensual_Acum,Inflación_Diaria
2026-06-09,La Paz,Calacoto,Frutas y Verduras,99.8126,42.13,-0.18739999999999668,0.0
2026-06-09,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-10,La Paz,Calacoto,Abarrotes,100.0,15.88,0.0,0.0
2026-06-10,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-10,La Paz,Calacoto,Frutas y Verduras,99.8126,42.13,-0.18739999999999668,0.0
2026-06-10,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-16,La Paz,Calacoto,Abarrotes,83.8715,52.6,-16.128500000000003,-0.161285
2026-06-16,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-16,La Paz,Calacoto,Frutas y Verduras,99.4909,58.62,-0.5091000000000037,-0.003223039976916864
2026-06-16,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-17,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-17,La Paz,Calacoto,Abarrotes,84.0276,50.14,-15.972399999999993,0.0018611804963546419
2026-06-17,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-17,La Paz,Calacoto,Frutas y Verduras,99.4909,58.62,-0.5091000000000037,0.0
2026-06-17,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-18,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-18,La Paz,Calacoto,Abarrotes,84.3819,47.23,-15.618099999999998,0.004216471730716931
2026-06-18,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-18,La Paz,Calacoto,Frutas y Verduras,99.4909,58.62,-0.5091000000000037,0.0
2026-06-18,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-19,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-19,La Paz,Calacoto,Abarrotes,84.6382,46.32,-15.361800000000002,0.0030373812393416078
2026-06-19,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-19,La Paz,Calacoto,Frutas y Verduras,99.4909,58.62,-0.5091000000000037,0.0
2026-06-19,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-23,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-23,La Paz,Calacoto,Abarrotes,84.508,46.61,-15.492000000000004,-0.001538312487741944
